brgy,municity,prov,score
SANTA INES,BULACAN,BULACAN,0.89
TALIPTIP,BULACAN,BULACAN,1.00
TIBIG,BULACAN,BULACAN,1.00
POBLACION,BUSTOS,BULACAN,1.00
POBLACION,BUSTOS,BULACAN,1.00
POBLACION,BUSTOS,BULACAN,1.00
TANAWAN,BUSTOS,BULACAN,1.00
TANAWAN,BUSTOS,BULACAN,1.00
POBLACION,BUSTOS,BULACAN,0.73
POBLACION,BUSTOS,BULACAN,0.73
TIBAGAN,BUSTOS,BULACAN,1.00
TIBAGAN,BUSTOS,BULACAN,1.00
SAN PEDRO,BUSTOS,BULACAN,1.00
SAN PEDRO,BUSTOS,BULACAN,1.00
TALAMPAS,BUSTOS,BULACAN,1.00
CAMBAOG,BUSTOS,BULACAN,1.00
CAMBAOG,BUSTOS,BULACAN,1.00
MALAMIG,BUSTOS,BULACAN,1.00
MALAMIG,BUSTOS,BULACAN,1.00
LICIADA,BUSTOS,BULACAN,1.00
LICIADA,BUSTOS,BULACAN,1.00
MALAWAK,BUSTOS,BULACAN,1.00
CATACTE,BUSTOS,BULACAN,1.00
CAMACHILIHAN,BUSTOS,BULACAN,1.00
BUISAN,BUSTOS,BULACAN,1.00
CAMACHILIHAN,BUSTOS,BULACAN,1.00
MALAMIG,BUSTOS,BULACAN,1.00
SAN PEDRO,BUSTOS,BULACAN,1.00
TALAMPAS,BUSTOS,BULACAN,1.00
CAMBAOG,BUSTOS,BULACAN,1.00
,CALUMPIT,BULACAN,1.00
,,,
,,,
,,,
,,,
,,,
POBLACION,CALUMPIT,BULACAN,0.73
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
POBLACION,GUIGUINTO,BULACAN,1.00
,,,
,,,
,,,
,,,
,,,
,,,
SAN PEDRO,HAGONOY,BULACAN,1.00
SANTO NIÑO POB.,HAGONOY,BULACAN,0.88
,,,
SAN PEDRO,HAGONOY,BULACAN,1.00
IBA,HAGONOY,BULACAN,1.00
,MALOLOS,BULACAN,1.00
,,,
TAAL,MALOLOS,BULACAN,0.83
BANGKAL,MALOLOS,BULACAN,1.00
SANTO ROSARIO POB.,MALOLOS,BULACAN,0.92
CAINGIN,MALOLOS,BULACAN,1.00
LIGAS,MALOLOS,BULACAN,1.00
,,,
SAOG,MARILAO,BULACAN,1.00
SANTA ROSA 2,MARILAO,BULACAN,0.89
SANTA ROSA 2,MARILAO,BULACAN,0.89
ABANGAN NORTE,MARILAO,BULACAN,1.00
ABANGAN SUR,MARILAO,BULACAN,1.00
ABANGAN SUR,MARILAO,BULACAN,1.00
IBAYO,MARILAO,BULACAN,1.00
LAMBAKIN,MARILAO,BULACAN,1.00
LIAS,MARILAO,BULACAN,1.00
LOMA DE GATO,MARILAO,BULACAN,1.00
NAGBALON,MARILAO,BULACAN,1.00
PATUBIG,MARILAO,BULACAN,1.00
POBLACION I,MARILAO,BULACAN,1.00
POBLACION I,MARILAO,BULACAN,0.96
PRENZA 1,MARILAO,BULACAN,1.00
PRENZA II,MARILAO,BULACAN,1.00
SAOG,MARILAO,BULACAN,1.00
SANTA ROSA I,MARILAO,BULACAN,0.89
SANTA ROSA 2,MARILAO,BULACAN,0.89
TABING ILOG,MARILAO,BULACAN,1.00
TABING ILOG,MARILAO,BULACAN,1.00
ABANGAN NORTE,MARILAO,BULACAN,1.00
ABANGAN SUR,MARILAO,BULACAN,1.00
ABANGAN SUR,MARILAO,BULACAN,1.00
IBAYO,MARILAO,BULACAN,1.00
LAMBAKIN,MARILAO,BULACAN,1.00
LIAS,MARILAO,BULACAN,1.00
LOMA DE GATO,MARILAO,BULACAN,1.00
NAGBALON,MARILAO,BULACAN,1.00
PATUBIG,MARILAO,BULACAN,1.00
POBLACION I,MARILAO,BULACAN,1.00
POBLACION I,MARILAO,BULACAN,0.96
PRENZA 1,MARILAO,BULACAN,1.00
PRENZA II,MARILAO,BULACAN,1.00
SAOG,MARILAO,BULACAN,1.00
SANTA ROSA I,MARILAO,BULACAN,0.89
SANTA ROSA 2,MARILAO,BULACAN,0.89
TABING ILOG,MARILAO,BULACAN,1.00
TABING ILOG,MARILAO,BULACAN,1.00
,,,
POBLACION,MEYCAUAYAN,BULACAN,1.00
POBLACION,NORZAGARAY,BULACAN,1.00
,,,
,,,
PARTIDA,NORZAGARAY,BULACAN,1.00
POBLACION,NORZAGARAY,BULACAN,1.00
POBLACION,NORZAGARAY,BULACAN,1.00
PALIWAS,OBANDO,BULACAN,1.00
SAN PASCUAL,OBANDO,BULACAN,1.00
PANGHULO,OBANDO,BULACAN,1.00
PANGHULO,OBANDO,BULACAN,1.00
CATANGHALAN,OBANDO,BULACAN,1.00
PALIWAS,OBANDO,BULACAN,1.00
PALIWAS,OBANDO,BULACAN,1.00
SAN PASCUAL,OBANDO,BULACAN,1.00
LAWA,OBANDO,BULACAN,1.00
PACO,OBANDO,BULACAN,1.00
TAWIRAN,OBANDO,BULACAN,1.00
TAWIRAN,OBANDO,BULACAN,1.00
BINUANGAN,OBANDO,BULACAN,1.00
SALAMBAO,OBANDO,BULACAN,1.00
PALIWAS,OBANDO,BULACAN,1.00
POBLACION,PANDI,BULACAN,1.00
BUNSURAN II,PANDI,BULACAN,1.00
BUNSURAN 1,PANDI,BULACAN,1.00
MASUSO,PANDI,BULACAN,1.00
MASUSO,PANDI,BULACAN,1.00
CUPANG,PANDI,BULACAN,1.00
MALIBONG BATA,PANDI,BULACAN,1.00
MALIBONG MATANDA,PANDI,BULACAN,1.00
POBLACION,PANDI,BULACAN,1.00
SAN ISIDRO II,PAOMBONG,BULACAN,1.00
SAN ISIDRO II,PAOMBONG,BULACAN,1.00
SAN ISIDRO II,PAOMBONG,BULACAN,1.00
SAN ISIDRO II,PAOMBONG,BULACAN,1.00
SAN ISIDRO 1,PAOMBONG,BULACAN,1.00
SAN ISIDRO 1,PAOMBONG,BULACAN,1.00
SAN ISIDRO 1,PAOMBONG,BULACAN,1.00
SAN ISIDRO 1,PAOMBONG,BULACAN,1.00
POBLACION,PAOMBONG,BULACAN,1.00
POBLACION,PAOMBONG,BULACAN,1.00
POBLACION,PAOMBONG,BULACAN,1.00
POBLACION,PAOMBONG,BULACAN,1.00
SAN ROQUE,PAOMBONG,BULACAN,1.00
SAN ROQUE,PAOMBONG,BULACAN,1.00
SAN ROQUE,PAOMBONG,BULACAN,1.00
SAN ROQUE,PAOMBONG,BULACAN,1.00
SAN ROQUE,PAOMBONG,BULACAN,1.00
SAN JOSE,PAOMBONG,BULACAN,1.00
,,,
,,,
,,,
KAPITANGAN,PAOMBONG,BULACAN,1.00
KAPITANGAN,PAOMBONG,BULACAN,1.00
KAPITANGAN,PAOMBONG,BULACAN,1.00
KAPITANGAN,PAOMBONG,BULACAN,1.00
KAPITANGAN,PAOMBONG,BULACAN,1.00
PINALAGDAN,PAOMBONG,BULACAN,1.00
PINALAGDAN,PAOMBONG,BULACAN,1.00
SAN VICENTE,PAOMBONG,BULACAN,1.00
SAN VICENTE,PAOMBONG,BULACAN,1.00
SAN VICENTE,PAOMBONG,BULACAN,1.00
SANTO ROSARIO,PAOMBONG,BULACAN,0.92
MALUMOT,PAOMBONG,BULACAN,1.00
MALUMOT,PAOMBONG,BULACAN,1.00
MALUMOT,PAOMBONG,BULACAN,1.00
SANTA CRUZ,PAOMBONG,BULACAN,0.89
SANTA CRUZ,PAOMBONG,BULACAN,0.89
SANTA CRUZ,PAOMBONG,BULACAN,0.89
BINAKOD,PAOMBONG,BULACAN,1.00
BINAKOD,PAOMBONG,BULACAN,1.00
BINAKOD,PAOMBONG,BULACAN,1.00
MASUKOL,PAOMBONG,BULACAN,0.92
MASUKOL,PAOMBONG,BULACAN,0.92
MASUKOL,PAOMBONG,BULACAN,0.92
MASUKOL,PAOMBONG,BULACAN,0.92
POBLACION,PAOMBONG,BULACAN,1.00
SANTO NINO,PAOMBONG,BULACAN,0.88
SANTO ROSARIO,PAOMBONG,BULACAN,0.92
MASUKOL,PAOMBONG,BULACAN,0.92
BINAKOD,PAOMBONG,BULACAN,0.92
BINAKOD,PAOMBONG,BULACAN,0.92
BINAKOD,PAOMBONG,BULACAN,0.92
SANTA CRUZ,PAOMBONG,BULACAN,0.89
AGNAYA,PLARIDEL,BULACAN,1.00
AGNAYA,PLARIDEL,BULACAN,1.00
BAGONG SILANG,PLARIDEL,BULACAN,1.00
BAGONG SILANG,PLARIDEL,BULACAN,1.00
BANGA I,PLARIDEL,BULACAN,1.00
BANGA I,PLARIDEL,BULACAN,1.00
BANGA 2,PLARIDEL,BULACAN,1.00
BINTOG,PLARIDEL,BULACAN,1.00
BULIHAN,PLARIDEL,BULACAN,1.00
CULIANIN,PLARIDEL,BULACAN,1.00
DAMPOL,PLARIDEL,BULACAN,1.00
LALANGAN,PLARIDEL,BULACAN,1.00
LAGUNDI,PLARIDEL,BULACAN,1.00
LUMANG BAYAN,PLARIDEL,BULACAN,0.95
PARULAN,PLARIDEL,BULACAN,1.00
POBLACION,PLARIDEL,BULACAN,1.00
RUEDA,PLARIDEL,BULACAN,1.00
SAN JOSE,PLARIDEL,BULACAN,1.00
SIPAT,PLARIDEL,BULACAN,1.00
SANTA INES,PLARIDEL,BULACAN,0.89
BULIHAN,PLARIDEL,BULACAN,0.86
TABANG,PLARIDEL,BULACAN,1.00
TABANG,PLARIDEL,BULACAN,1.00
POBLACION,PLARIDEL,BULACAN,1.00
BANGA 2,PLARIDEL,BULACAN,1.00
BINTOG,PLARIDEL,BULACAN,1.00
DAMPOL,PLARIDEL,BULACAN,1.00
TABANG,PLARIDEL,BULACAN,1.00
PARULAN,PLARIDEL,BULACAN,1.00
SANTO NINO,PLARIDEL,BULACAN,0.88
BULIHAN,PLARIDEL,BULACAN,1.00
LAGUNDI,PLARIDEL,BULACAN,1.00
CULIANIN,PLARIDEL,BULACAN,1.00
SAN JOSE,PLARIDEL,BULACAN,1.00
SIPAT,PLARIDEL,BULACAN,1.00
LUMANG BAYAN,PLARIDEL,BULACAN,1.00
LALANGAN,PLARIDEL,BULACAN,1.00
BAGONG SILANG,PLARIDEL,BULACAN,0.94
RUEDA,PLARIDEL,BULACAN,1.00
POBLACION,PLARIDEL,BULACAN,1.00
BALATONG A,PULILAN,BULACAN,1.00
BALATONG B,PULILAN,BULACAN,1.00
CUTCOT,PULILAN,BULACAN,0.94
DAMPOL I,PULILAN,BULACAN,0.92
DAMPOL I,PULILAN,BULACAN,0.92
DAMPOL I,PULILAN,BULACAN,0.92
DULONG MALABON,PULILAN,BULACAN,1.00
INAON,PULILAN,BULACAN,1.00
LONGOS,PULILAN,BULACAN,1.00
LUMBAC,PULILAN,BULACAN,1.00
PALTAO,PULILAN,BULACAN,1.00
PENABATAN,PULILAN,BULACAN,0.92
POBLACION,PULILAN,BULACAN,1.00
SANTA PEREGRINA,PULILAN,BULACAN,0.92
SANTO CRISTO,PULILAN,BULACAN,0.91
TAAL,PULILAN,BULACAN,1.00
TABON,PULILAN,BULACAN,1.00
TIBAG,PULILAN,BULACAN,1.00
TINEJERO,PULILAN,BULACAN,1.00
POBLACION,PULILAN,BULACAN,1.00
POBLACION,SAN ILDEFONSO,BULACAN,1.00
POBLACION,SAN ILDEFONSO,BULACAN,1.00
CALASAG,SAN ILDEFONSO,BULACAN,1.00
MAASIM,SAN ILDEFONSO,BULACAN,1.00
MAKAPILAPIL,SAN ILDEFONSO,BULACAN,1.00
MALIPAMPANG,SAN ILDEFONSO,BULACAN,1.00
MAASIM,SAN ILDEFONSO,BULACAN,1.00
MAKAPILAPIL,SAN ILDEFONSO,BULACAN,1.00
MALIPAMPANG,SAN ILDEFONSO,BULACAN,1.00
CALASAG,SAN ILDEFONSO,BULACAN,1.00
POBLACION,SAN ILDEFONSO,BULACAN,1.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
POBLACION,SAN MIGUEL,BULACAN,1.00
POBLACION,SAN MIGUEL,BULACAN,1.00
BALITE,SAN MIGUEL,BULACAN,1.00
BULIRAN,SAN MIGUEL,BULACAN,1.00
POBLACION,SAN MIGUEL,BULACAN,1.00
BALITE,SAN MIGUEL,BULACAN,1.00
BULIRAN,SAN MIGUEL,BULACAN,1.00
TIBAGAN,SAN MIGUEL,BULACAN,1.00
ULINGAO,SAN RAFAEL,BULACAN,1.00
BAGBAGUIN,SANTA MARIA,BULACAN,1.00
BAGBAGUIN,SANTA MARIA,BULACAN,1.00
BALASING,SANTA MARIA,BULACAN,1.00
BUENAVISTA,SANTA MARIA,BULACAN,1.00
BULAC,SANTA MARIA,BULACAN,1.00
CAMANGYANAN,SANTA MARIA,BULACAN,1.00
CATMON,SANTA MARIA,BULACAN,1.00
CAYSIO,SANTA MARIA,BULACAN,1.00
CAY POMBO,SANTA MARIA,BULACAN,0.95
GUYONG,SANTA MARIA,BULACAN,1.00
GUYONG,SANTA MARIA,BULACAN,1.00
GUYONG,SANTA MARIA,BULACAN,1.00
LALAKHAN,SANTA MARIA,BULACAN,1.00
BULAC,SANTA MARIA,BULACAN,0.90
BULAC,SANTA MARIA,BULACAN,0.90
MANGGAHAN,SANTA MARIA,BULACAN,1.00
PARADA,SANTA MARIA,BULACAN,1.00
PARADA,SANTA MARIA,BULACAN,1.00
POBLACION,SANTA MARIA,BULACAN,1.00
POBLACION,SANTA MARIA,BULACAN,1.00
PULONG BUHANGIN,SANTA MARIA,BULACAN,1.00
PULONG BUHANGIN,SANTA MARIA,BULACAN,1.00
SAN GABRIEL,SANTA MARIA,BULACAN,1.00
SAN GABRIEL,SANTA MARIA,BULACAN,1.00
BULAC,SANTA MARIA,BULACAN,0.90
BULAC,SANTA MARIA,BULACAN,0.90
SAN VICENTE,SANTA MARIA,BULACAN,1.00
SAN VICENTE,SANTA MARIA,BULACAN,1.00
BULAC,SANTA MARIA,BULACAN,0.90
BULAC,SANTA MARIA,BULACAN,0.90
BULAC,SANTA MARIA,BULACAN,0.90
SILANGAN,SANTA MARIA,BULACAN,1.00
TUMANA,SANTA MARIA,BULACAN,1.00
TUMANA,SANTA MARIA,BULACAN,1.00
BAGBAGUIN,SANTA MARIA,BULACAN,1.00
GUYONG,SANTA MARIA,BULACAN,1.00
PARADA,SANTA MARIA,BULACAN,1.00
PULONG BUHANGIN,SANTA MARIA,BULACAN,0.94
SAN GABRIEL,SANTA MARIA,BULACAN,1.00
SAN GABRIEL,SANTA MARIA,BULACAN,1.00
KALAWAKAN,DONA REMEDIOS TRINIDAD,BULACAN,0.96
,,,
,,,
KALAWAKAN,DONA REMEDIOS TRINIDAD,BULACAN,0.90
,,,
,,,
,,,
,DONA REMEDIOS TRINIDAD,BULACAN,0.94
,DONA REMEDIOS TRINIDAD,BULACAN,0.94
PULONG SAMPALOK,DONA REMEDIOS TRINIDAD,BULACAN,0.96
CAMACHILE,DONA REMEDIOS TRINIDAD,BULACAN,0.96
SAPANG BULAK,DONA REMEDIOS TRINIDAD,BULACAN,0.91
KALAWAKAN,DONA REMEDIOS TRINIDAD,BULACAN,0.96
KABAYUNAN,DONA REMEDIOS TRINIDAD,BULACAN,0.96
CAMACHIN,DONA REMEDIOS TRINIDAD,BULACAN,0.96
,,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NAZARETH,PAPAYA,NUEVA ECIJA,1.00
BAGONG SILANG,CABIAO,NUEVA ECIJA,1.00
BAGONG SIKAT,CABIAO,NUEVA ECIJA,1.00
ENTABLADO,CABIAO,NUEVA ECIJA,1.00
POLILIO,CABIAO,NUEVA ECIJA,1.00
,,,
,,,
LARCON,BONGABON,NUEVA ECIJA,1.00
MANTILE,BONGABON,NUEVA ECIJA,1.00
SAN ROQUE POB.,BONGABON,NUEVA ECIJA,1.00
PESA,BONGABON,NUEVA ECIJA,1.00
SOCIAL POB.,BONGABON,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
SAN EMILIANO,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,0.90
PANTOC,ALIAGA,NUEVA ECIJA,1.00
BIBICLAT,ALIAGA,NUEVA ECIJA,1.00
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
BUCOT,ALIAGA,NUEVA ECIJA,1.00
SAN JUAN,ALIAGA,NUEVA ECIJA,1.00
POBLACION EAST I,ALIAGA,NUEVA ECIJA,0.92
POBLACION CENTRO,ALIAGA,NUEVA ECIJA,1.00
BUCOT,ALIAGA,NUEVA ECIJA,1.00
,ALIAGA,NUEVA ECIJA,1.00
,ALIAGA,NUEVA ECIJA,1.00
SAN EMILIANO,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,0.90
PANTOC,ALIAGA,NUEVA ECIJA,1.00
BIBICLAT,ALIAGA,NUEVA ECIJA,1.00
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
BUCOT,ALIAGA,NUEVA ECIJA,1.00
SAN JUAN,ALIAGA,NUEVA ECIJA,1.00
,ALIAGA,NUEVA ECIJA,1.00
SAN EMILIANO,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,1.00
PANTOC,ALIAGA,NUEVA ECIJA,1.00
BIBICLAT,ALIAGA,NUEVA ECIJA,1.00
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
BUCOT,ALIAGA,NUEVA ECIJA,1.00
SAN JUAN,ALIAGA,NUEVA ECIJA,1.00
MACABUCOD,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,0.90
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
MAGSAYSAY,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
PANTOC,ALIAGA,NUEVA ECIJA,1.00
POBLACION CENTRO,ALIAGA,NUEVA ECIJA,1.00
,ALIAGA,NUEVA ECIJA,1.00
SAN EMILIANO,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,1.00
PANTOC,ALIAGA,NUEVA ECIJA,1.00
BIBICLAT,ALIAGA,NUEVA ECIJA,1.00
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
BUCOT,ALIAGA,NUEVA ECIJA,1.00
SAN JUAN,ALIAGA,NUEVA ECIJA,1.00
MACABUCOD,ALIAGA,NUEVA ECIJA,1.00
SANTA MONICA,ALIAGA,NUEVA ECIJA,0.90
SAN EUSTACIO,ALIAGA,NUEVA ECIJA,1.00
MAGSAYSAY,ALIAGA,NUEVA ECIJA,1.00
LA PURISIMA,ALIAGA,NUEVA ECIJA,1.00
PANTOC,ALIAGA,NUEVA ECIJA,1.00
POBLACION CENTRO,ALIAGA,NUEVA ECIJA,1.00
,,,
,,,
,,,
SINIPIT POB.,BONGABON,NUEVA ECIJA,1.00
SINIPIT POB.,BONGABON,NUEVA ECIJA,1.00
CABU,CABANATUAN,NUEVA ECIJA,0.94
CABU,CABANATUAN,NUEVA ECIJA,0.94
CABU,CABANATUAN,NUEVA ECIJA,0.94
CABU,CABANATUAN,NUEVA ECIJA,0.94
CABU,CABANATUAN,NUEVA ECIJA,0.94
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
,,,
M. S. GARCIA,CABANATUAN,NUEVA ECIJA,0.90
SAN JUAN,CABANATUAN,NUEVA ECIJA,1.00
CABU,CABANATUAN,NUEVA ECIJA,0.94
,,,
BITAS,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
BITAS,CABANATUAN,NUEVA ECIJA,1.00
,,,
,,,
,,,
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
PULA,CABANATUAN,NUEVA ECIJA,0.85
,,,
SAMON,CABANATUAN,NUEVA ECIJA,0.84
SAMON,CABANATUAN,NUEVA ECIJA,0.84
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
PULA,CABANATUAN,NUEVA ECIJA,0.85
,,,
SAMON,CABANATUAN,NUEVA ECIJA,0.84
SAMON,CABANATUAN,NUEVA ECIJA,0.84
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
PULA,CABANATUAN,NUEVA ECIJA,0.85
,,,
SAMON,CABANATUAN,NUEVA ECIJA,0.84
SAMON,CABANATUAN,NUEVA ECIJA,0.84
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
PULA,CABANATUAN,NUEVA ECIJA,0.85
,,,
SAMON,CABANATUAN,NUEVA ECIJA,0.84
SAMON,CABANATUAN,NUEVA ECIJA,0.84
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
,,,
,,,
,,,
,,,
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
PULA,CABANATUAN,NUEVA ECIJA,0.85
,,,
SAMON,CABANATUAN,NUEVA ECIJA,0.84
SAMON,CABANATUAN,NUEVA ECIJA,0.84
KAPITAN PEPE POB.,CABANATUAN,NUEVA ECIJA,1.00
SANGITAN,CABANATUAN,NUEVA ECIJA,1.00
PAMALDAN,CABANATUAN,NUEVA ECIJA,1.00
MABINI EXTENSION,CABANATUAN,NUEVA ECIJA,1.00
,,,
SAN CARLOS,CABIAO,NUEVA ECIJA,0.94
POLILIO,CABIAO,NUEVA ECIJA,1.00
PALASINAN,CABIAO,NUEVA ECIJA,1.00
SAN GREGORIO,CABIAO,NUEVA ECIJA,0.96
ENTABLADO,CABIAO,NUEVA ECIJA,1.00
,,,
SAN ROQUE,CABIAO,NUEVA ECIJA,1.00
CONCEPCION,CABIAO,NUEVA ECIJA,1.00
SANTA RITA,CABIAO,NUEVA ECIJA,0.88
SAN VICENTE,CABIAO,NUEVA ECIJA,1.00
SINIPIT,CABIAO,NUEVA ECIJA,1.00
SAN ANTONIO,CABIAO,NUEVA ECIJA,1.00
MALIGAYA,CABIAO,NUEVA ECIJA,1.00
,,,
SINIPIT,CABIAO,NUEVA ECIJA,1.00
SAN ANTONIO,CABIAO,NUEVA ECIJA,1.00
MALIGAYA,CABIAO,NUEVA ECIJA,1.00
,,,
D. L. MAGLANOC POB. BGY.III,CARRANGLAN,NUEVA ECIJA,0.95
F. C. OTIC POB. BGY. II,CARRANGLAN,NUEVA ECIJA,0.89
D. L. MAGLANOC POB. BGY.III,CARRANGLAN,NUEVA ECIJA,0.90
R.A.PADILLA,CARRANGLAN,NUEVA ECIJA,0.95
BUNGA,CARRANGLAN,NUEVA ECIJA,1.00
BURGOS,CARRANGLAN,NUEVA ECIJA,1.00
BURGOS,CARRANGLAN,NUEVA ECIJA,1.00
CAPINTALAN,CARRANGLAN,NUEVA ECIJA,1.00
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
BUNGA,CARRANGLAN,NUEVA ECIJA,0.82
BUNGA,CARRANGLAN,NUEVA ECIJA,0.82
MINULI,CARRANGLAN,NUEVA ECIJA,1.00
PUNCAN,CARRANGLAN,NUEVA ECIJA,1.00
PUTLAN,CARRANGLAN,NUEVA ECIJA,1.00
SALAZAR,CARRANGLAN,NUEVA ECIJA,1.00
SAN AGUSTIN,CARRANGLAN,NUEVA ECIJA,1.00
SAN AGUSTIN,CARRANGLAN,NUEVA ECIJA,1.00
BUNGA,CARRANGLAN,NUEVA ECIJA,0.82
BUNGA,CARRANGLAN,NUEVA ECIJA,0.82
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
BUNGA,CARRANGLAN,NUEVA ECIJA,0.82
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
MINULI,CARRANGLAN,NUEVA ECIJA,1.00
SAN AGUSTIN,CARRANGLAN,NUEVA ECIJA,1.00
PIUT,CARRANGLAN,NUEVA ECIJA,1.00
PUNCAN,CARRANGLAN,NUEVA ECIJA,1.00
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
SALAZAR,CARRANGLAN,NUEVA ECIJA,1.00
SAN AGUSTIN,CARRANGLAN,NUEVA ECIJA,1.00
BURGOS,CARRANGLAN,NUEVA ECIJA,1.00
JOSON DIGIDIG,CARRANGLAN,NUEVA ECIJA,1.00
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
DISTRICT I POB. I,CUYAPO,NUEVA ECIJA,0.93
BITULOK NORTH POB.,BITULOK & SABANI,NUEVA ECIJA,1.00
BITULOK NORTH POB.,BITULOK & SABANI,NUEVA ECIJA,1.00
BITULOK NORTH POB.,BITULOK & SABANI,NUEVA ECIJA,1.00
BITULOK NORTH POB.,BITULOK & SABANI,NUEVA ECIJA,1.00
PANTOC,BITULOK & SABANI,NUEVA ECIJA,1.00
MALINAO,BITULOK & SABANI,NUEVA ECIJA,0.96
BAGTING,BITULOK & SABANI,NUEVA ECIJA,1.00
BAGTING,BITULOK & SABANI,NUEVA ECIJA,1.00
